"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T13:50:58.330Z","Sentinel","uaenorth","NOK","Pay-as-you-go","1 GB","27.4945","2019-09-24T00:00:00.000Z","0","27.4945"
"2023-03-29T13:50:58.330Z","Sentinel","uaenorth","NOK","100","1/Day","1374.7272","2019-09-24T00:00:00.000Z","50.0001","13.7473"
"2023-03-29T13:50:58.330Z","Sentinel","uaenorth","NOK","200","1/Day","2474.509","2019-09-24T00:00:00.000Z","179.9996","12.3725"
"2023-03-29T13:50:58.330Z","Sentinel","uaenorth","NOK","300","1/Day","3574.2907","2019-09-24T00:00:00.000Z","288.8899","11.9143"
"2023-03-29T13:50:58.330Z","Sentinel","uaenorth","NOK","400","1/Day","4582.424","2019-09-24T00:00:00.000Z","384.6155","11.4561"
"2023-03-29T13:50:58.330Z","Sentinel","uaenorth","NOK","500","1/Day","5498.9088","2019-09-24T00:00:00.000Z","479.9983","10.9978"
"2023-03-29T13:50:58.330Z","Sentinel","uaenorth","NOK","1000","1/Day","10722.8722","2021-06-01T00:00:00.000Z","975.0016","10.7229"
"2023-03-29T13:50:58.330Z","Sentinel","uaenorth","NOK","2000","1/Day","20345.9626","2021-06-01T00:00:00.000Z","1897.431","10.173"
"2023-03-29T13:50:58.330Z","Sentinel","uaenorth","NOK","5000","1/Day","48115.452","2021-06-01T00:00:00.000Z","4729.721","9.6231"
"2023-04-12T11:28:34.468Z","Sentinel","uaenorth","NOK","Pay-as-you-go","1 GB","27.52","2019-09-24T00:00:00.000Z","0","27.52"
"2023-04-12T11:28:34.468Z","Sentinel","uaenorth","NOK","100","1/Day","1376.001","2019-09-24T00:00:00.000Z","50.0000","13.7600"
"2023-04-12T11:28:34.468Z","Sentinel","uaenorth","NOK","200","1/Day","2476.8018","2019-09-24T00:00:00.000Z","180.0001","12.3840"
"2023-04-12T11:28:34.468Z","Sentinel","uaenorth","NOK","300","1/Day","3577.6026","2019-09-24T00:00:00.000Z","288.8891","11.9253"
"2023-04-12T11:28:34.468Z","Sentinel","uaenorth","NOK","400","1/Day","4586.67","2019-09-24T00:00:00.000Z","384.6167","11.4667"
"2023-04-12T11:28:34.468Z","Sentinel","uaenorth","NOK","500","1/Day","5504.004","2019-09-24T00:00:00.000Z","479.9990","11.0080"
"2023-04-12T11:28:34.468Z","Sentinel","uaenorth","NOK","1000","1/Day","10732.8078","2021-06-01T00:00:00.000Z","975.0007","10.7328"
"2023-04-12T11:28:34.468Z","Sentinel","uaenorth","NOK","2000","1/Day","20364.8148","2021-06-01T00:00:00.000Z","1897.4373","10.1824"
"2023-04-12T11:28:34.468Z","Sentinel","uaenorth","NOK","5000","1/Day","48160.035","2021-06-01T00:00:00.000Z","4729.7332","9.6320"
