"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-09-11T15:21:36.457Z","Sentinel","westus3","CHF","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","3.7907","2023-07-01T00:00:00.000Z","0","3.7907"
"2023-09-11T15:21:36.457Z","Sentinel","westus3","CHF","100 GB Commitment Tier Capacity Reservation","100","1/Day","260.9388","2023-07-01T00:00:00.000Z","68.8366","2.6094"
"2023-09-11T15:21:36.457Z","Sentinel","westus3","CHF","200 GB Commitment Tier Capacity Reservation","200","1/Day","483.0894","2023-07-01T00:00:00.000Z","185.1343","2.4154"
"2023-09-11T15:21:36.457Z","Sentinel","westus3","CHF","300 GB Commitment Tier Capacity Reservation","300","1/Day","705.24","2023-07-01T00:00:00.000Z","291.9765","2.3508"
"2023-09-11T15:21:36.457Z","Sentinel","westus3","CHF","400 GB Commitment Tier Capacity Reservation","400","1/Day","914.4583","2023-07-01T00:00:00.000Z","388.9988","2.2861"
"2023-09-11T15:21:36.457Z","Sentinel","westus3","CHF","500 GB Commitment Tier Capacity Reservation","500","1/Day","1115.1607","2023-07-01T00:00:00.000Z","487.8005","2.2303"
"2023-09-11T15:21:36.457Z","Sentinel","westus3","CHF","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","2186.244","2023-07-01T00:00:00.000Z","980.2466","2.1862"
"2023-09-11T15:21:36.457Z","Sentinel","westus3","CHF","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","4231.44","2023-07-01T00:00:00.000Z","1935.5228","2.1157"
"2023-09-11T15:21:36.457Z","Sentinel","westus3","CHF","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","10181.9025","2023-07-01T00:00:00.000Z","4812.5455","2.0364"
"2023-10-02T06:09:57.719Z","Sentinel","westus3","CHF","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","3.9554","2023-07-01T00:00:00.000Z","0","3.9554"
"2023-10-02T06:09:57.719Z","Sentinel","westus3","CHF","100 GB Commitment Tier Capacity Reservation","100","1/Day","272.2756","2023-07-01T00:00:00.000Z","68.8364","2.7228"
"2023-10-02T06:09:57.719Z","Sentinel","westus3","CHF","200 GB Commitment Tier Capacity Reservation","200","1/Day","504.0778","2023-07-01T00:00:00.000Z","185.1321","2.5204"
"2023-10-02T06:09:57.719Z","Sentinel","westus3","CHF","300 GB Commitment Tier Capacity Reservation","300","1/Day","735.88","2023-07-01T00:00:00.000Z","291.9695","2.4529"
"2023-10-02T06:09:57.719Z","Sentinel","westus3","CHF","400 GB Commitment Tier Capacity Reservation","400","1/Day","954.188","2023-07-01T00:00:00.000Z","389.004","2.3855"
"2023-10-02T06:09:57.719Z","Sentinel","westus3","CHF","500 GB Commitment Tier Capacity Reservation","500","1/Day","1163.6103","2023-07-01T00:00:00.000Z","487.7847","2.3272"
"2023-10-02T06:09:57.719Z","Sentinel","westus3","CHF","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","2281.228","2023-07-01T00:00:00.000Z","980.2458","2.2812"
"2023-10-02T06:09:57.719Z","Sentinel","westus3","CHF","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","4415.28","2023-07-01T00:00:00.000Z","1935.5076","2.2076"
"2023-10-02T06:09:57.719Z","Sentinel","westus3","CHF","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","10624.2675","2023-07-01T00:00:00.000Z","4812.5872","2.1249"
"2023-11-01T06:09:55.088Z","Sentinel","westus3","CHF","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","3.8818","2023-07-01T00:00:00.000Z","0","3.8818"
"2023-11-01T06:09:55.088Z","Sentinel","westus3","CHF","100 GB Commitment Tier Capacity Reservation","100","1/Day","267.214","2023-07-01T00:00:00.000Z","68.8377","2.6721"
"2023-11-01T06:09:55.088Z","Sentinel","westus3","CHF","200 GB Commitment Tier Capacity Reservation","200","1/Day","494.707","2023-07-01T00:00:00.000Z","185.1379","2.4735"
"2023-11-01T06:09:55.088Z","Sentinel","westus3","CHF","300 GB Commitment Tier Capacity Reservation","300","1/Day","722.2","2023-07-01T00:00:00.000Z","291.9749","2.4073"
"2023-11-01T06:09:55.088Z","Sentinel","westus3","CHF","400 GB Commitment Tier Capacity Reservation","400","1/Day","936.4497","2023-07-01T00:00:00.000Z","389.0042","2.3411"
"2023-11-01T06:09:55.088Z","Sentinel","westus3","CHF","500 GB Commitment Tier Capacity Reservation","500","1/Day","1141.9787","2023-07-01T00:00:00.000Z","487.7958","2.2840"
"2023-11-01T06:09:55.088Z","Sentinel","westus3","CHF","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","2238.82","2023-07-01T00:00:00.000Z","980.2189","2.2388"
"2023-11-01T06:09:55.088Z","Sentinel","westus3","CHF","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","4333.2","2023-07-01T00:00:00.000Z","1935.5012","2.1666"
"2023-11-01T06:09:55.088Z","Sentinel","westus3","CHF","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","10426.7625","2023-07-01T00:00:00.000Z","4812.5","2.0854"
